,Name,Team,Number,Position,Age,Height,Weight,College,Salary,Age_Group
0,Avery Bradley,Boston Celtics,0,PG,25,174,180,Texas,7730337,21-25
1,Jae Crowder,Boston Celtics,99,SF,25,167,235,Marquette,6796117,21-25
2,John Holland,Boston Celtics,30,SG,27,165,205,Boston University,0,26-30
3,R.J. Hunter,Boston Celtics,28,SG,22,156,185,Georgia State,1148640,21-25
4,Jonas Jerebko,Boston Celtics,8,PF,29,156,231,Unknown,5000000,26-30
5,Amir Johnson,Boston Celtics,90,PF,29,171,240,Unknown,12000000,26-30
6,Jordan Mickey,Boston Celtics,55,PF,21,161,235,LSU,1170960,21-25
7,Kelly Olynyk,Boston Celtics,41,C,25,179,238,Gonzaga,2165160,21-25
8,Terry Rozier,Boston Celtics,12,PG,22,170,190,Louisville,1824360,21-25
9,Marcus Smart,Boston Celtics,36,PG,22,155,220,Oklahoma State,3431040,21-25
10,Jared Sullinger,Boston Celtics,7,C,24,158,260,Ohio State,2569260,21-25
11,Isaiah Thomas,Boston Celtics,4,PG,27,162,185,Washington,6912869,26-30
12,Evan Turner,Boston Celtics,11,SG,27,155,220,Ohio State,3425510,26-30
13,James Young,Boston Celtics,13,SG,20,173,215,Kentucky,1749840,15-20
14,Tyler Zeller,Boston Celtics,44,C,26,157,253,North Carolina,2616975,26-30
15,Bojan Bogdanovic,Brooklyn Nets,44,SG,27,177,216,Unknown,3425510,26-30
16,Markel Brown,Brooklyn Nets,22,SG,24,170,190,Oklahoma State,845059,21-25
17,Wayne Ellington,Brooklyn Nets,21,SG,28,153,200,North Carolina,1500000,26-30
18,Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,174,220,Arizona,1335480,21-25
19,Jarrett Jack,Brooklyn Nets,2,PG,32,155,200,Georgia Tech,6300000,31-35
20,Sergey Karasev,Brooklyn Nets,10,SG,22,175,208,Unknown,1599840,21-25
21,Sean Kilpatrick,Brooklyn Nets,6,SG,26,170,219,Cincinnati,134215,26-30
22,Shane Larkin,Brooklyn Nets,0,PG,23,153,175,Miami (FL),1500000,21-25
23,Brook Lopez,Brooklyn Nets,11,C,28,157,275,Stanford,19689000,26-30
24,Chris McCullough,Brooklyn Nets,1,PF,21,176,200,Syracuse,1140240,21-25
25,Willie Reed,Brooklyn Nets,33,PF,26,174,220,Saint Louis,947276,26-30
26,Thomas Robinson,Brooklyn Nets,41,PF,25,168,237,Kansas,981348,21-25
27,Henry Sims,Brooklyn Nets,14,C,26,168,248,Georgetown,947276,26-30
28,Donald Sloan,Brooklyn Nets,15,PG,28,155,205,Texas A&M,947276,26-30
29,Thaddeus Young,Brooklyn Nets,30,PF,27,155,221,Georgia Tech,11235955,26-30
30,Arron Afflalo,New York Knicks,4,SG,30,168,210,UCLA,8000000,26-30
31,Lou Amundson,New York Knicks,17,PF,33,171,220,UNLV,1635476,31-35
32,Thanasis Antetokounmpo,New York Knicks,43,SF,23,176,205,Unknown,30888,21-25
33,Carmelo Anthony,New York Knicks,7,SF,32,164,240,Syracuse,22875000,31-35
34,Jose Calderon,New York Knicks,3,PG,34,170,200,Unknown,7402812,31-35
35,Cleanthony Early,New York Knicks,11,SF,25,150,210,Wichita State,845059,21-25
36,Langston Galloway,New York Knicks,2,SG,24,156,200,Saint Joseph's,845059,21-25
37,Jerian Grant,New York Knicks,13,PG,23,178,195,Notre Dame,1572360,21-25
38,Robin Lopez,New York Knicks,8,C,28,179,255,Stanford,12650000,26-30
39,Kyle O'Quinn,New York Knicks,9,PF,26,176,250,Norfolk State,3750000,26-30
40,Kristaps Porzingis,New York Knicks,6,PF,20,180,240,Unknown,4131720,15-20
41,Kevin Seraphin,New York Knicks,1,C,26,172,278,Unknown,2814000,26-30
42,Lance Thomas,New York Knicks,42,SF,28,165,235,Duke,1636842,26-30
43,Sasha Vujacic,New York Knicks,18,SG,32,163,195,Unknown,947276,31-35
44,Derrick Williams,New York Knicks,23,PF,25,166,240,Arizona,4000000,21-25
45,Tony Wroten,New York Knicks,5,SG,23,176,205,Washington,167406,21-25
46,Elton Brand,Philadelphia 76ers,42,PF,37,160,254,Duke,0,36-40
47,Isaiah Canaan,Philadelphia 76ers,0,PG,25,166,201,Murray State,947276,21-25
48,Robert Covington,Philadelphia 76ers,33,SF,25,171,215,Tennessee State,1000000,21-25
49,Joel Embiid,Philadelphia 76ers,21,C,22,172,250,Kansas,4626960,21-25
50,Jerami Grant,Philadelphia 76ers,39,SF,22,163,210,Syracuse,845059,21-25
51,Richaun Holmes,Philadelphia 76ers,22,PF,22,154,245,Bowling Green,1074169,21-25
52,Carl Landry,Philadelphia 76ers,7,PF,32,156,248,Purdue,6500000,31-35
53,Kendall Marshall,Philadelphia 76ers,5,PG,24,177,200,North Carolina,2144772,21-25
54,T.J. McConnell,Philadelphia 76ers,12,PG,24,152,200,Arizona,525093,21-25
55,Nerlens Noel,Philadelphia 76ers,4,PF,22,166,228,Kentucky,3457800,21-25
56,Jahlil Okafor,Philadelphia 76ers,8,C,20,170,275,Duke,4582680,15-20
57,Ish Smith,Philadelphia 76ers,1,PG,27,156,175,Wake Forest,947276,26-30
58,Nik Stauskas,Philadelphia 76ers,11,SG,22,173,205,Michigan,2869440,21-25
59,Hollis Thompson,Philadelphia 76ers,31,SG,25,151,206,Georgetown,947276,21-25
60,Christian Wood,Philadelphia 76ers,35,PF,20,164,220,UNLV,525093,15-20
61,Bismack Biyombo,Toronto Raptors,8,C,23,165,245,Unknown,2814000,21-25
62,Bruno Caboclo,Toronto Raptors,20,SF,20,163,205,Unknown,1524000,15-20
63,DeMarre Carroll,Toronto Raptors,5,SF,29,177,212,Missouri,13600000,26-30
64,DeMar DeRozan,Toronto Raptors,10,SG,26,164,220,USC,10050000,26-30
65,James Johnson,Toronto Raptors,3,PF,29,162,250,Wake Forest,2500000,26-30
66,Cory Joseph,Toronto Raptors,6,PG,24,171,190,Texas,7000000,21-25
67,Kyle Lowry,Toronto Raptors,7,PG,30,162,205,Villanova,12000000,26-30
68,Lucas Nogueira,Toronto Raptors,92,C,23,180,220,Unknown,1842000,21-25
69,Patrick Patterson,Toronto Raptors,54,PF,27,166,235,Kentucky,6268675,26-30
70,Norman Powell,Toronto Raptors,24,SG,23,158,215,UCLA,650000,21-25
71,Terrence Ross,Toronto Raptors,31,SF,25,176,195,Washington,3553917,21-25
72,Luis Scola,Toronto Raptors,4,PF,36,170,240,Unknown,2900000,36-40
73,Jason Thompson,Toronto Raptors,1,PF,29,155,250,Rider,245177,26-30
74,Jonas Valanciunas,Toronto Raptors,17,C,24,171,255,Unknown,4660482,21-25
75,Delon Wright,Toronto Raptors,55,PG,24,168,190,Utah,1509360,21-25
